RoadClass	RoadLengthKm	AADFPedalCycles	AADFTwoWheeledMotorVehicles	AADFCarsAndTaxis	AADFBusesAndCoaches	AADFLGVs	AADFTwoRigidAxleHGVs	AADFThreeRigidAxleHGVs	AADFFourOrMoreRigidAxleHGVs	AADFThreeOrFourArticulatedAxleHGVs	AADFFiveArticulatedAxleHGVs	AADFSixArticulatedAxleHGVs	AADFAllHGVs	AADFAllMotorVehicles	AADF	RoadID	Year	geometry	SRefLatitude	SRefLongitude	LocalAuthority	EstimationMethod	EstimationMethodDetailed
discrete	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	discrete	string	continuous	continuous	discrete	discrete	discrete
																meta	meta	meta	meta	meta	meta	meta	meta
PA	0.7	16.0	95.0	10151.0	11.0	2321.0	296.0	77.0	94.0	51.0	163.0	142.0	823.0	13401.0	13417.0	74023	2011	LINESTRING (362100 396550, 362240 395900)	53.46118204	-2.57094029	Wigan	Counted	Dependent on a neighbouring counted link
PA	0.5	173.0	163.0	23410.0	273.0	4304.0	536.0	139.0	118.0	40.0	158.0	83.0	1074.0	29224.0	29397.0	74224	2011	LINESTRING (391980 398160, 392400 398360)	53.48089613	-2.119001291	Tameside	Estimated	Estimated using previous year's AADF on this link
PA	0.4	60.0	62.0	7900.0	194.0	1230.0	134.0	63.0	26.0	14.0	16.0	11.0	264.0	9650.0	9710.0	74252	2011	LINESTRING (399420 405130, 399230 404730)	53.54029634	-2.012033199	Oldham	Estimated	Estimated using previous year's AADF on this link
PA	0.5	29.0	16.0	2409.0	55.0	429.0	74.0	3.0	10.0	4.0	5.0	5.0	101.0	3010.0	3039.0	74253	2011	LINESTRING (399230 404650, 399420 405130)	53.54029642	-2.011278728	Oldham	Estimated	Estimated using previous year's AADF on this link
PA	0.2	71.0	77.0	5352.0	101.0	831.0	90.0	10.0	10.0	4.0	7.0	1.0	122.0	6483.0	6554.0	74254	2011	LINESTRING (399230 404650, 399230 404730)	53.53831869	-2.013994161	Oldham	Estimated	Estimated using previous year's AADF on this link
TA	0.3	21.0	51.0	18808.0	219.0	2219.0	287.0	79.0	83.0	39.0	120.0	115.0	723.0	22020.0	22041.0	74457	2011	LINESTRING (382250 389450, 382228 389189)	53.40040371	-2.268588744	Manchester	Estimated	Estimated from nearby links
TA	0.2	97.0	27.0	5051.0	52.0	875.0	132.0	20.0	16.0	29.0	71.0	48.0	316.0	6321.0	6418.0	74463	2011	LINESTRING (390780 406450, 390817 406681)	53.55563828	-2.140374417	Oldham	Estimated	Estimated from nearby links
PA	0.2	118.0	66.0	10390.0	30.0	1352.0	173.0	48.0	52.0	9.0	19.0	62.0	363.0	12201.0	12319.0	74478	2011	LINESTRING (382980 397298, 382866 397420)	53.47268425	-2.258740548	Manchester	Estimated	Estimated from nearby links
PA	0.3	0.0	53.0	8943.0	28.0	1562.0	215.0	38.0	41.0	31.0	75.0	39.0	439.0	11025.0	11025.0	74483	2011	LINESTRING (374495 405276, 374560 405600)	53.5449588	-2.385871819	Bolton	Estimated	Estimated from nearby links
PA	0.3	21.0	47.0	7158.0	45.0	1176.0	147.0	43.0	53.0	17.0	51.0	56.0	367.0	8793.0	8814.0	74485	2011	LINESTRING (384846 397487, 385130 397450)	53.47372735	-2.227635929	Manchester	Estimated	Estimated from nearby links
PA	0.4	167.0	46.0	6797.0	310.0	517.0	79.0	6.0	3.0	1.0	4.0	1.0	94.0	7764.0	7931.0	74497	2011	LINESTRING (383545 398707, 383170 398561)	53.48394085	-2.253127917	Salford	Counted	Manual count
PA	0.3	187.0	71.0	10670.0	879.0	908.0	80.0	14.0	5.0	12.0	2.0	2.0	115.0	12643.0	12830.0	74518	2011	LINESTRING (372001 408785, 371900 409020)	53.57594355	-2.425087626	Bolton	Counted	Manual count
PA	0.2	512.0	36.0	2561.0	730.0	627.0	88.0	21.0	1.0	3.0	1.0	0.0	114.0	4068.0	4580.0	74555	2011	LINESTRING (383830 398180, 383860 398360)	53.48090178	-2.244972879	Manchester	Estimated	Estimated using previous year's AADF on this link
PA	1.2	275.0	83.0	12267.0	475.0	2202.0	369.0	47.0	25.0	16.0	20.0	13.0	490.0	15517.0	15792.0	74561	2011	LINESTRING (393050 398530, 392480 397650)	53.47867623	-2.109351823	Tameside	Estimated	Estimated using previous year's AADF on this link
TM	2.7	0.0	319.0	71885.0	122.0	15364.0	2417.0	490.0	841.0	341.0	784.0	2442.0	7315.0	95005.0	95005.0	74589	2011	LINESTRING (390570 402600, 391740 400260)	53.50921205	-2.133706813	Oldham	Counted	Dependent on a neighbouring counted link
TM	0.8	0.0	210.0	65310.0	267.0	11408.0	4111.0	387.0	680.0	127.0	1279.0	1377.0	7961.0	85156.0	85156.0	74590	2011	LINESTRING (386390 404150, 387120 403920)	53.53168673	-2.196084512	Rochdale	Estimated	Estimated using previous year's AADF on this link
TM	0.3	0.0	206.0	73112.0	85.0	15026.0	2506.0	470.0	1286.0	185.0	1153.0	1685.0	7285.0	95714.0	95714.0	74591	2011	LINESTRING (384343 404845, 384590 404760)	53.53963243	-2.235866291	Rochdale	Counted	Dependent on a neighbouring counted link
PA	0.5	182.0	59.0	13811.0	637.0	1724.0	249.0	28.0	14.0	27.0	33.0	27.0	378.0	16609.0	16791.0	74611	2011	LINESTRING (383838 401738, 383563 402143)	53.51388615	-2.246520481	Salford	Estimated	Estimated using previous year's AADF on this link
PA	0.1	144.0	227.0	23605.0	154.0	4662.0	505.0	109.0	159.0	52.0	114.0	97.0	1036.0	29684.0	29828.0	74618	2011	LINESTRING (374648 400549, 374710 400470)	53.50067244	-2.383192909	Salford	Estimated	Estimated from nearby links
TM	0.5	0.0	89.0	17215.0	93.0	3055.0	518.0	117.0	70.0	107.0	319.0	1102.0	2233.0	22685.0	22685.0	74627	2011	LINESTRING (353800 404200, 353670 404510)	53.53329777	-2.70090602	Wigan	Estimated	Estimated from nearby links
